TourAttraction,Big_col,Samll_col,Address,Local,Alien,Foreign,Total,Latitude,Longitude,category
함안 말이산 고분군,역사관광지,유적지/사적지,경상남도 > 함안군,"427,074","159,219",512,"159,731",35.269621,128.4044857,인문
안산식물원,자연관광지,수목원,경기도 > 안산시 상록구,"298,211","159,023",705,"159,727",37.3138889,126.8608333,자연
자유의 다리(파주),역사관광지,안보관광,경기도 > 파주시,"54,691","146,447","13,094","159,541",37.8900017,126.7385883,인문
서현동 먹거리촌,체험관광지,이색거리,경기도 > 성남시 분당구,"205,342","158,246","1,261","159,506",37.3772636,127.1394671,인문
광명새마을시장,쇼핑,상설시장,경기도 > 광명시,"346,518","158,561",879,"159,439",37.4928207,126.8673861,쇼핑
경주 불국사 [유네스코 세계문화유산],역사관광지,사찰,경상북도 > 경주시,"26,947","154,084","5,248","159,332",35.7900971,129.3320924,인문
갤러리 서종,문화시설,미술관/화랑,경기도 > 양평군,"72,300","158,977",348,"159,325",37.625138,127.3540782,인문
외옹치마을,자연관광지,어촌,강원도 > 속초시,"51,807","156,895","2,238","159,132",38.2070148,128.5918489,자연
지심도,자연관광지,섬,경상남도 > 거제시,"62,755","142,104","16,985","159,089",34.8673077,128.7275631,자연
명활산성,역사관광지,성,경상북도 > 경주시,"33,072","158,379",695,"159,074",35.841603,129.262169,인문
나주읍성,역사관광지,성,전라남도 > 나주시,"283,605","158,011","1,040","159,051",35.029392,126.7203946,인문
우두산,자연관광지,산,경상남도 > 거창군,"18,242","158,571",334,"158,905",35.7609387,128.0343346,자연
양주 도자기나라,체험관광지,전통체험,경기도 > 양주시,"41,251","157,836",879,"158,715",37.713077,126.953925,인문
여수 진남관,역사관광지,유적지/사적지,전라남도 > 여수시,"191,436","158,158",551,"158,709",34.7419222,127.7366095,인문
오산 독산성과 세마대지,역사관광지,성,경기도 > 오산시,"145,226","157,703",678,"158,381",37.1833023,127.0194392,인문
노산공원,휴양관광지,공원,경상남도 > 사천시,"152,702","158,039",153,"158,192",34.924261,128.0740753,인문
박재삼 문학관,문화시설,전시관,경상남도 > 사천시,"152,702","158,039",153,"158,192",34.9247078,128.0744301,인문
