TourAttraction,Big_col,Samll_col,Address,Local,Alien,Foreign,Total,Latitude,Longitude,category
고양 관광특구,휴양관광지,관광단지,경기도 > 고양시 일산서구,"11,483,416","9,980,863","56,079","10,036,941",37.6567441,126.7662508,인문
국제시장,쇼핑,상설시장,부산광역시 > 중구,"553,207","1,925,847","94,149","2,019,996",35.1015524,129.0282977,쇼핑
명동,체험관광지,이색거리,서울특별시 > 중구,"242,421","1,302,515","484,479","1,786,994",37.55998,126.9858296,인문
부여금사리성당,역사관광지,종교성지,충청남도 > 부여군,"3,502,167","1,737,575","8,066","1,745,641",36.2496638,126.7982173,인문
수원화성 관광특구,휴양관광지,관광단지,경기도 > 수원시 팔달구,"1,172,777","1,724,573","14,631","1,739,203",37.2885205,127.0139413,인문
울산 12경,자연관광지,산,울산광역시 > 남구,"2,887,864","1,483,713","3,588","1,487,301",35.4923951,129.4395603,자연
수내동가옥(이택구가옥),역사관광지,고택,경기도 > 성남시 분당구,"2,202,785","1,460,883","11,349","1,472,232",37.375301,127.1242928,인문
서면1번가,체험관광지,이색거리,부산광역시 > 부산진구,"668,479","1,392,255","36,074","1,428,329",35.1564181,129.0582271,인문
인사동,체험관광지,이색거리,서울특별시 > 종로구,"377,605","1,301,384","123,064","1,424,448",37.5716555,126.9862326,인문
홍대,체험관광지,이색거리,서울특별시 > 마포구,"335,143","1,219,999","195,618","1,415,616",37.5515814,126.9249751,인문
인계예술공원,휴양관광지,공원,경기도 > 수원시 팔달구,"520,933","1,331,778","27,186","1,358,964",37.258629,127.0359448,인문
탑골공원,휴양관광지,공원,서울특별시 > 종로구,"336,851","1,279,863","75,529","1,355,391",37.5711455,126.9883295,인문
일산호수공원,휴양관광지,공원,경기도 > 고양시 일산동구,"1,137,031","1,304,783","6,235","1,311,018",37.6567441,126.7662508,인문
서촌거리,체험관광지,이색거리,서울특별시 > 종로구,"357,291","1,215,162","90,347","1,305,509",37.57648,126.971465,인문
홍대 걷고싶은 거리,체험관광지,이색거리,서울특별시 > 마포구,"285,313","1,113,767","186,990","1,300,756",37.5555188,126.9237664,인문
바운스 트램폴린파크(대구신세계점),체험관광지,이색체험,대구광역시 > 동구,"417,333","1,282,964","7,135","1,290,098",35.8798753,128.6341383,인문
강화도,자연관광지,섬,인천광역시 > 강화군,"1,080,534","1,275,869","6,544","1,282,413",37.7131742,126.4511281,자연
국채보상운동기념공원,휴양관광지,공원,대구광역시 > 중구,"455,693","1,240,099","7,284","1,247,383",35.8688126,128.6021271,인문
안양 중앙공원,휴양관광지,공원,경기도 > 안양시 동안구,"1,169,798","1,220,412","2,721","1,223,132",37.3900749,126.9591246,인문
고양 선인장전시관,문화시설,전시관,경기도 > 고양시 일산동구,"1,059,737","1,197,228","5,878","1,203,106",37.6575129,126.7614063,인문
광복로문화패션거리,체험관광지,이색거리,부산광역시 > 중구,"223,059","1,110,648","76,297","1,186,945",35.0993087,129.0296813,인문
쌈지길,체험관광지,이색거리,서울특별시 > 종로구,"249,368","1,074,766","86,989","1,161,755",37.5743092,126.9849234,인문
지도박물관,문화시설,박물관,경기도 > 수원시 영통구,"1,070,286","1,151,423","4,339","1,155,762",37.2761332,127.0551723,인문
부평시장(깡통시장),쇼핑,상설시장,부산광역시 > 중구,"386,306","1,112,521","41,108","1,153,628",35.101276,129.0257311,쇼핑
벡스코(BEXCO),문화시설,컨벤션센터,부산광역시 > 해운대구,"684,418","1,115,055","35,218","1,150,273",35.1689766,129.1360411,인문
한국종합무역센터(코엑스),문화시설,컨벤션센터,서울특별시 > 강남구,"544,698","1,045,069","93,340","1,138,409",37.5130556,127.0586111,인문
충장로,체험관광지,이색거리,광주광역시 > 동구,"391,283","1,133,573","3,692","1,137,265",35.1500878,126.9132835,인문
삼락생태공원,휴양관광지,공원,부산광역시 > 사상구,"768,593","1,117,620","13,837","1,131,457",35.1687484,128.9735403,인문
대학로,체험관광지,이색거리,서울특별시 > 종로구,"352,828","1,100,313","13,067","1,113,379",37.5769696,127.0020331,인문
해운대해수욕장,자연관광지,해수욕장,부산광역시 > 해운대구,"546,763","1,008,826","88,033","1,096,859",35.1586975,129.1603842,자연
광화문,역사관광지,문,서울특별시 > 종로구,"92,747","957,212","135,725","1,092,937",37.5759369,126.9768157,인문
금남로,체험관광지,이색거리,광주광역시 > 동구,"538,755","1,086,827","3,065","1,089,892",35.151062,126.9138333,인문
월드컵공원,휴양관광지,공원,서울특별시 > 마포구,"317,762","1,052,170","36,019","1,088,189",37.5639074,126.8973166,인문
경인 아라뱃길,휴양관광지,관광단지,경기도 > 김포시,"785,208","1,053,273","30,180","1,083,453",37.572449,126.717853,인문
롯데월드,휴양관광지,테마공원,서울특별시 > 송파구,"592,743","1,048,103","34,595","1,082,698",37.5111158,127.098167,인문
남대문시장,쇼핑,상설시장,서울특별시 > 중구,"262,427","918,365","163,391","1,081,756",37.5591786,126.9776692,쇼핑
용두산공원,휴양관광지,공원,부산광역시 > 중구,"252,168","1,005,897","73,537","1,079,433",35.1006536,129.0326226,인문
월화원,역사관광지,유적지/사적지,경기도 > 수원시 팔달구,"467,089","1,055,765","14,201","1,069,965",37.2650767,127.0376885,인문
경복궁,역사관광지,고궁,서울특별시 > 종로구,"131,317","919,562","147,717","1,067,279",37.579617,126.977041,인문
롯데월드타워 서울스카이,건축/조형물,기념탑/기념비/전망대,서울특별시 > 송파구,"563,497","1,002,306","39,608","1,041,913",37.5126108,127.1026942,인문
롯데월드타워&롯데월드몰,건축/조형물,유명건물,서울특별시 > 송파구,"563,497","1,002,306","39,608","1,041,913",37.5134998,127.1050225,인문
태안해안국립공원,자연관광지,국립공원,충청남도 > 태안군,"532,438","1,023,561","16,710","1,040,271",36.8944539,126.2066731,자연
흥인지문,역사관광지,문,서울특별시 > 종로구,"349,111","954,139","71,618","1,025,757",37.5711389,127.0095452,인문
세종문화회관,문화시설,공연장,서울특별시 > 종로구,"160,976","1,004,682","18,919","1,023,601",37.5725254,126.9756429,인문
연트럴파크,휴양관광지,공원,서울특별시 > 마포구,"428,124","898,874","102,622","1,001,495",37.5659964,126.9196475,인문
남산서울타워,건축/조형물,기념탑/기념비/전망대,서울특별시 > 용산구,"260,239","860,472","135,323","995,795",37.5511694,126.9882266,인문
청계천,휴양관광지,공원,서울특별시 > 중구,"200,949","963,764","27,712","991,475",37.5713521,127.0246275,인문
나혜석거리,체험관광지,이색거리,경기도 > 수원시 팔달구,"320,166","954,583","13,914","968,497",37.2631163,127.0338965,인문
압구정 로데오거리,체험관광지,이색거리,서울특별시 > 강남구,"553,683","925,950","34,999","960,949",37.527345,127.040394,인문
경주 보문관광단지,휴양관광지,관광단지,경상북도 > 경주시,"341,807","901,044","20,033","921,077",35.8426793,129.2863322,인문
북한산국립공원(도봉 지구),자연관광지,국립공원,경기도 > 의정부시,"495,933","917,137","1,985","919,122",37.6861992,127.0373533,자연
스포츠몬스터 고양,체험관광지,이색체험,경기도 > 고양시 덕양구,"934,966","889,515","3,996","893,510",37.6457118,126.8925698,인문
에버랜드,휴양관광지,테마공원,경기도 > 용인시 처인구,"150,273","834,264","47,614","881,878",37.2939104,127.2025664,인문
고양 서오릉 [유네스코 세계문화유산],역사관광지,유적지/사적지,경기도 > 고양시 덕양구,"1,279,954","870,632","4,621","875,253",37.6256578,126.8986358,인문
안양 남부시장,쇼핑,상설시장,경기도 > 안양시 만안구,"790,531","866,488","3,426","869,914",37.3956659,126.9250628,쇼핑
대끼리 상남시장,쇼핑,상설시장,경상남도 > 창원시 성산구,"937,020","857,693","5,277","862,970",35.222172,128.683427,쇼핑
대구 서문시장,쇼핑,상설시장,대구광역시 > 중구,"226,167","855,344","6,594","861,938",35.8688497,128.5807879,쇼핑
서울역사박물관,문화시설,박물관,서울특별시 > 종로구,"216,661","823,393","26,813","850,205",37.5704837,126.9705674,인문
서울 문묘와 성균관,역사관광지,유적지/사적지,서울특별시 > 종로구,"394,744","828,646","16,422","845,068",37.5858494,126.9960871,인문
광안리해수욕장,자연관광지,해수욕장,부산광역시 > 수영구,"450,629","822,997","14,025","837,022",35.1531696,129.118666,자연
미사리경정공원,휴양관광지,공원,경기도 > 하남시,"1,136,450","832,832","2,446","835,278",37.5517658,127.2153888,인문
경주 첨성대,역사관광지,유적지/사적지,경상북도 > 경주시,"261,352","813,131","19,279","832,410",35.8346828,129.2190631,인문
태화강 국가정원,자연관광지,자연생태관광지,울산광역시 > 중구,"924,028","830,379","1,971","832,349",35.54777,129.2962236,자연
수원 영동시장,쇼핑,상설시장,경기도 > 수원시 팔달구,"433,241","824,593","5,947","830,540",37.2769042,127.0186681,쇼핑
대전근현대사전시관(옛 충남도청사 본관),문화시설,전시관,대전광역시 > 중구,"403,445","826,119","1,945","828,064",36.3267614,127.4209497,인문
돌다리 곱창골목,체험관광지,이색거리,경기도 > 구리시,"858,249","809,788","1,062","810,850",35.8380567,128.5757544,인문
수원 화령전,역사관광지,유적지/사적지,경기도 > 수원시 팔달구,"390,243","781,431","6,788","788,219",37.283126,127.012558,인문
백룡동굴 생태체험학습장,문화시설,전시관,강원도 > 평창군,"166,355","722,404","65,763","788,166",37.2778444,128.5770305,인문
원마운트 워터파크,휴양관광지,온천/욕장/스파,경기도 > 고양시 일산동구,"610,372","773,777","8,070","781,847",37.664346,126.75438,인문
전주 풍패지관,역사관광지,고택,전라북도 > 전주시 완산구,"590,076","767,522","12,116","779,638",35.8184408,127.1453629,인문
상동호수공원,휴양관광지,공원,경기도 > 부천시,"1,198,554","773,231","5,489","778,719",37.5033089,126.7457616,인문
국립현대미술관(서울관),문화시설,미술관/화랑,서울특별시 > 종로구,"218,379","656,597","122,105","778,702",37.5794091,126.9803691,인문
부산 자유도매시장,쇼핑,상설시장,부산광역시 > 동구,"301,536","762,062","10,884","772,946",35.1409213,129.0610957,쇼핑
수원향교,역사관광지,유적지/사적지,경기도 > 수원시 팔달구,"407,722","765,163","5,567","770,730",37.2725435,127.0121133,인문
스포츠몬스터 하남,체험관광지,이색체험,경기도 > 하남시,"434,977","765,734","1,426","767,159",37.5447581,127.2258405,인문
부산 자갈치 양곱창 골목,체험관광지,이색거리,부산광역시 > 중구,"158,585","722,995","32,577","755,572",35.0969782,129.027059,인문
부산 차이나타운특구(상해문.상해거리),휴양관광지,관광단지,부산광역시 > 동구,"163,093","709,797","44,343","754,139",35.1138516,129.0378343,인문
곤충생태관,자연관광지,자연생태관광지,경기도 > 구리시,"539,700","748,192",873,"749,064",37.590541,127.161855,자연
동인천 삼치거리,체험관광지,이색거리,인천광역시 > 중구,"462,816","734,230","7,820","742,050",37.476405,126.628768,인문
덕수궁,역사관광지,고궁,서울특별시 > 중구,"176,586","690,603","45,760","736,362",37.5658049,126.9751461,인문
KBS 창원홀,문화시설,공연장,경상남도 > 창원시 의창구,"720,230","725,347","2,791","728,138",37.525555,126.91635,인문
화성어차,체험관광지,이색체험,경기도 > 수원시 팔달구,"343,375","720,524","6,374","726,898",37.2878244,127.0236247,인문
구리타워,건축/조형물,기념탑/기념비/전망대,경기도 > 구리시,"537,492","719,922",825,"720,747",37.5888889,127.1602778,인문
못골종합시장 (못골시장),쇼핑,상설시장,경기도 > 수원시 팔달구,"401,590","710,980","5,518","716,498",37.27546,127.0211124,쇼핑
국립부산과학관,문화시설,전시관,부산광역시 > 기장군,"121,202","700,714","12,102","712,816",35.2044462,129.2127157,인문
용인 포은아트홀,문화시설,공연장,경기도 > 용인시 수지구,"418,915","709,086","2,131","711,217",37.3256631,127.1046948,인문
보정동카페거리,체험관광지,이색거리,경기도 > 용인시 기흥구,"418,411","706,822","1,779","708,600",37.321605,127.109826,인문
장안문(長安門),역사관광지,문,경기도 > 수원시 팔달구,"294,308","701,222","3,391","704,613",37.2888038,127.0142055,인문
남산 케이블카,자연관광지,산,서울특별시 > 중구,"151,515","553,994","149,324","703,318",37.5565908,126.9839744,자연
경주 동부 사적지대,역사관광지,유적지/사적지,경상북도 > 경주시,"156,758","686,277","16,821","703,097",35.8561719,129.2247477,인문
안양 중앙시장,쇼핑,상설시장,경기도 > 안양시 만안구,"747,719","699,269","3,340","702,608",37.3978929,126.92194,쇼핑
안양문화원,문화시설,문화원,경기도 > 안양시 만안구,"549,997","694,953","2,064","697,017",37.3903783,126.9258172,인문
홍통거리,체험관광지,이색거리,서울특별시 > 마포구,"105,984","551,562","145,168","696,729",37.555468,126.923745,인문
호암미술관,문화시설,미술관/화랑,경기도 > 용인시 처인구,"64,551","667,937","27,416","695,353",37.2945327,127.1916275,인문
신사동 가로수길,체험관광지,이색거리,서울특별시 > 강남구,"354,862","631,379","59,560","690,939",37.5205636,127.0229273,인문
경주역사유적지구[유네스코 세계문화유산],역사관광지,유적지/사적지,경상북도 > 경주시,"1,251,604","672,063","12,532","684,595",35.832301,129.223767,인문
용유도,자연관광지,섬,인천광역시 > 중구,"132,146","612,777","67,893","680,669",37.4234314,126.4213334,자연
해운대온천센터,휴양관광지,온천/욕장/스파,부산광역시 > 해운대구,"474,394","621,044","53,978","675,022",35.1634102,129.1645861,인문
노을공원,휴양관광지,공원,서울특별시 > 마포구,"206,413","657,990","16,936","674,925",37.5735764,126.8752845,인문
덕평자연휴게소,체험관광지,이색체험,경기도 > 이천시,"207,890","669,729","2,517","672,246",37.2412764,127.3901886,인문
보령 해수욕장 관광특구,휴양관광지,관광단지,충청남도 > 보령시,"281,722","664,083","2,614","666,697",36.320833,126.511426,인문
청와대 앞길,체험관광지,이색거리,서울특별시 > 종로구,"229,572","619,150","42,055","661,205",37.5866076,126.974811,인문
중문관광단지,휴양관광지,관광단지,제주특별자치도 > 서귀포시,"213,980","609,319","47,337","656,655",33.2486522,126.4124374,인문
무학산,자연관광지,산,경상남도 > 창원시 의창구,"1,489,628","652,869",984,"653,853",35.2110687,128.5357745,자연
경주 월성(반월성),역사관광지,성,경상북도 > 경주시,"128,730","634,921","15,638","650,559",35.8324055,129.2238957,인문
브이알존 큐브 강남점,체험관광지,이색체험,서울특별시 > 서초구,"191,552","635,502","13,601","649,103",37.5172363,127.0473248,인문
아트리움,문화시설,공연장,서울특별시 > 영등포구,"323,568","632,891","14,687","647,578",47.3849518,-122.2550684,인문
킨텍스,문화시설,컨벤션센터,경기도 > 고양시 일산서구,"272,444","630,802","9,762","640,564",37.6646797,126.7421222,인문
팔달산,자연관광지,산,경기도 > 수원시 팔달구,"409,850","634,904","4,554","639,457",37.278975,127.009643,자연
노적봉공원,휴양관광지,공원,경기도 > 안산시 상록구,"791,000","635,758","2,159","637,917",37.3163889,126.855,인문
이태원 관광특구,휴양관광지,관광단지,서울특별시 > 용산구,"99,803","606,309","29,666","635,975",37.535001,126.9928168,인문
안면도,자연관광지,섬,충청남도 > 태안군,"254,433","632,356","1,389","633,744",36.5795048,126.3293372,자연
광장시장,쇼핑,상설시장,서울특별시 > 종로구,"131,817","587,563","45,047","632,609",37.5701527,126.9993404,쇼핑
소래산,자연관광지,산,경기도 > 시흥시,"538,314","626,511","1,566","628,077",37.4509621,126.7789089,자연
마로니에공원,휴양관광지,공원,서울특별시 > 종로구,"221,848","617,866","9,275","627,140",37.5805009,127.0028245,인문
의정부 부대찌개거리,체험관광지,이색거리,경기도 > 의정부시,"919,510","623,809","1,251","625,059",37.743671,127.0496195,인문
문화역 서울 284,역사관광지,유적지/사적지,서울특별시 > 중구,"53,123","577,154","47,099","624,253",37.5558351,126.971732,인문
여주 넓은들마을 [농촌체험],체험관광지,농.산.어촌 체험,경기도 > 여주시,"76,384","621,999","1,738","623,737",37.2980237,127.6371628,인문
고양문화원,문화시설,문화원,경기도 > 고양시 일산서구,"698,597","619,024","3,263","622,287",37.6678113,126.7443811,인문
송파나루공원(석촌호수),휴양관광지,공원,서울특별시 > 송파구,"266,074","585,452","34,250","619,702",37.5097431,127.1030184,인문
서울대공원,휴양관광지,테마공원,경기도 > 과천시,"144,673","606,106","5,189","611,294",37.4275247,127.0170252,인문
대부도,자연관광지,섬,경기도 > 안산시 단원구,"141,439","606,344","2,471","608,815",37.2415397,126.5786286,자연
아쿠아플라넷 일산,문화시설,전시관,경기도 > 고양시 일산동구,"524,815","604,188","4,097","608,284",37.6633627,126.7553083,인문
전주한옥마을 [슬로시티],역사관광지,민속마을,전라북도 > 전주시 완산구,"377,745","595,438","12,365","607,803",35.8154261,127.1534567,인문
월드컵경기장,육상 레포츠,육상 레포츠,서울특별시 > 마포구,"216,899","584,752","23,026","607,778",37.5682588,126.8972774,레포츠
도산안창호기념관,문화시설,기념관,서울특별시 > 강남구,"406,070","594,090","12,447","606,537",37.5238653,127.0355199,인문
서울 운현궁,역사관광지,고궁,서울특별시 > 종로구,"199,815","547,446","58,174","605,619",37.576034,126.987052,인문
수원 청소년 문화센터,문화시설,문화원,경기도 > 수원시 팔달구,"483,000","598,101","6,432","604,533",37.2743096,127.0345564,인문
팔달문,역사관광지,문,경기도 > 수원시 팔달구,"303,636","595,550","4,912","600,462",37.277488,127.016724,인문
지앤아트스페이스,문화시설,미술관/화랑,경기도 > 용인시 기흥구,"690,316","597,065","2,320","599,385",37.2699345,127.1097706,인문
부산 부전시장,쇼핑,상설시장,부산광역시 > 부산진구,"501,417","587,258","10,274","597,532",35.1617782,129.060232,쇼핑
국립아시아문화전당,문화시설,문화원,광주광역시 > 동구,"251,899","590,538","2,564","593,102",35.1466611,126.9202695,인문
캐리비안베이,휴양관광지,온천/욕장/스파,경기도 > 용인시 처인구,"48,556","560,886","31,069","591,955",37.2971295,127.2008973,인문
초량 이바구길,체험관광지,이색거리,부산광역시 > 동구,"154,875","550,694","39,229","589,923",35.1197043,129.0294621,인문
수원 화성 [유네스코 세계문화유산],역사관광지,성,경기도 > 수원시 팔달구,"336,123","575,726","5,468","581,193",37.2885205,127.0139413,인문
평화의공원,휴양관광지,공원,서울특별시 > 마포구,"194,698","553,025","25,640","578,665",37.5623116,126.8951046,인문
설봉산,자연관광지,산,경기도 > 이천시,"585,106","576,496","1,887","578,382",37.2869658,127.4187124,자연
대한민국 임시정부 서울연통부 터,역사관광지,유적지/사적지,서울특별시 > 중구,"353,990","539,665","38,350","578,015",37.5593936,126.9434934,인문
한강시민공원 난지지구(난지한강공원),휴양관광지,공원,서울특별시 > 마포구,"79,559","572,912","3,218","576,129",37.5661708,126.8763463,인문
한국기독교선교박물관,문화시설,박물관,부산광역시 > 동래구,"563,290","572,698","1,324","574,022",35.2012144,129.0826724,인문
신흑마을,자연관광지,어촌,충청남도 > 보령시,"254,405","565,989","2,524","568,512",36.3188145,126.510091,자연
동래시장,쇼핑,상설시장,부산광역시 > 동래구,"603,327","566,881","1,397","568,278",35.2038096,129.0859492,쇼핑
소래포구,자연관광지,항구/포구,인천광역시 > 남동구,"185,532","561,197","2,588","563,785",37.3986586,126.7407626,자연
효원공원,휴양관광지,공원,경기도 > 수원시 팔달구,"331,345","558,625","3,788","562,413",37.2642848,127.0382024,인문
설봉공원,휴양관광지,공원,경기도 > 이천시,"577,105","555,849","1,810","557,659",37.2766061,127.4266286,인문
청초호,자연관광지,호수,강원도 > 속초시,"728,760","543,274","6,987","550,261",38.1961823,128.5888215,자연
인천 답동성당,역사관광지,종교성지,인천광역시 > 중구,"277,837","534,370","15,535","549,904",37.4710681,126.6299229,인문
이태원시장,쇼핑,상설시장,서울특별시 > 용산구,"138,772","525,350","22,656","548,006",37.5337979,126.990044,쇼핑
속초항 (공공기관이 추천하는 여름철 선박 해양 시설),자연관광지,항구/포구,강원도 > 속초시,"318,108","538,661","6,449","545,110",38.2113189,128.5972365,자연
돌산도,자연관광지,섬,전라남도 > 여수시,"266,455","529,942","12,775","542,717",34.639799,127.75933,자연
성산아트홀,문화시설,공연장,경상남도 > 창원시 의창구,"477,260","539,987","2,459","542,446",35.2300136,128.6836768,인문
봉의산,자연관광지,산,강원도 > 춘천시,"1,404,596","532,707","7,039","539,746",37.8886481,127.7335531,자연
창덕궁과 후원 [유네스코 세계문화유산],역사관광지,고궁,서울특별시 > 종로구,"172,655","499,247","37,536","536,783",37.5794309,126.9910426,인문
서울랜드,휴양관광지,테마공원,경기도 > 과천시,"89,653","527,573","4,224","531,797",37.4341563,127.0201267,인문
대천해수욕장,자연관광지,해수욕장,충청남도 > 보령시,"192,402","526,568","2,107","528,675",36.3055967,126.5160485,자연
근현대디자인박물관,문화시설,박물관,서울특별시 > 마포구,"197,120","468,783","58,511","527,294",37.5532256,126.9297481,인문
대구 근대골목(근대로의 여행),체험관광지,이색거리,대구광역시 > 중구,"161,630","518,616","7,984","526,600",35.8671128,128.5931987,인문
서울 약현성당,역사관광지,종교성지,서울특별시 > 중구,"228,361","492,506","34,017","526,523",37.5591528,126.9674472,인문
명동 남대문 북창동 다동무교동 관광특구,휴양관광지,관광단지,서울특별시 > 중구,"56,266","368,099","153,877","521,976",37.561136,126.977929,인문
영월암(이천),역사관광지,사찰,경기도 > 이천시,"528,910","518,816","1,632","520,448",37.2811886,127.4152962,인문
동대문역사문화공원,휴양관광지,공원,서울특별시 > 중구,"70,522","464,167","52,564","516,731",37.565111,127.007783,인문
팔달사(수원),역사관광지,사찰,경기도 > 수원시 팔달구,"250,754","511,231","4,286","515,517",37.2764361,127.0154333,인문
안양명물 순대곱창골목,체험관광지,이색거리,경기도 > 안양시 만안구,"644,273","513,419","2,079","515,497",37.3967294,126.9209766,인문
홍대 주차장골목,체험관광지,이색거리,서울특별시 > 마포구,"161,634","496,101","19,273","515,373",37.548865,126.920483,인문
경남도립미술관,문화시설,미술관/화랑,경상남도 > 창원시 의창구,"460,205","513,695","1,424","515,119",35.2394571,128.6908981,인문
국립과천과학관,문화시설,전시관,경기도 > 과천시,"183,768","511,312","3,048","514,359",37.4382837,127.0057486,인문
한국카메라박물관,문화시설,박물관,경기도 > 과천시,"183,768","511,312","3,048","514,359",37.4351061,127.0056601,인문
수원화성박물관,문화시설,박물관,경기도 > 수원시 팔달구,"249,260","503,370","8,235","511,605",37.2826917,127.018956,인문
부산 송도해수욕장,자연관광지,해수욕장,부산광역시 > 서구,"269,413","493,612","17,168","510,780",35.0754546,129.016761,자연
짚풀생활사박물관,문화시설,박물관,서울특별시 > 종로구,"240,202","504,091","5,070","509,161",37.584883,126.9999176,인문
송정해수욕장,자연관광지,해수욕장,부산광역시 > 해운대구,"511,844","499,793","8,584","508,377",35.1786125,129.1997133,자연
남항시장,쇼핑,상설시장,부산광역시 > 영도구,"580,052","481,495","24,400","505,895",35.0887035,129.0415361,쇼핑
인천 차이나타운,체험관광지,이색거리,인천광역시 > 중구,"201,933","490,553","14,429","504,982",37.4763539,126.6181934,인문
새말관광농원,체험관광지,관광농원,강원도 > 횡성군,"7,711","498,082","1,290","499,372",37.4382651,128.0795051,인문
대부바다향기테마파크,휴양관광지,테마공원,경기도 > 안산시 단원구,"71,330","497,469","1,770","499,239",37.2832421,126.5781241,인문
안산문화예술의전당,문화시설,공연장,경기도 > 안산시 단원구,"367,588","497,403","1,545","498,947",37.3200967,126.8229426,인문
팔달공원,휴양관광지,공원,경기도 > 수원시 팔달구,"325,549","494,288","3,924","498,211",37.2771201,127.0119249,인문
무등산국립공원,자연관광지,국립공원,광주광역시 > 동구,"435,880","494,802","1,541","496,343",35.134134,126.9887555,자연
율암온천숯가마 테마파크,휴양관광지,온천/욕장/스파,경기도 > 화성시,"119,557","494,505","1,709","496,214",37.1521318,126.882198,인문
북촌한옥마을,역사관광지,민속마을,서울특별시 > 종로구,"180,660","420,235","75,076","495,311",37.5824075,126.9836531,인문
맥도생태공원,휴양관광지,공원,부산광역시 > 강서구,"60,368","474,390","20,308","494,698",35.1498233,128.9558365,인문
이중섭 미술관,문화시설,기념관,제주특별자치도 > 서귀포시,"423,150","467,985","25,587","493,572",33.2458403,126.56494,인문
헌책방 보물섬,문화시설,전시관,경기도 > 파주시,"395,455","490,221","1,951","492,171",37.708576,126.686516,인문
부산 에덴공원,휴양관광지,공원,부산광역시 > 사하구,"676,130","488,908","1,516","490,424",35.1090608,128.9632928,인문
효원의 종·서장대,역사관광지,유적지/사적지,경기도 > 수원시 팔달구,"335,745","483,753","3,683","487,436",37.279373,127.010331,인문
운암뜰 한식거리,체험관광지,이색거리,경기도 > 오산시,"702,601","484,222","2,468","486,690",37.146094,127.072949,인문
5·18 기념공원,휴양관광지,공원,광주광역시 > 서구,"535,392","482,405","2,272","484,677",35.1556848,126.8572119,인문
대전엑스포과학공원,휴양관광지,테마공원,대전광역시 > 유성구,"546,088","481,184","3,366","484,550",36.3775475,127.3797414,인문
남양주 구 팔당역,역사관광지,유적지/사적지,경기도 > 남양주시,"128,373","481,765",707,"482,472",37.547376,127.243813,인문
광교산,자연관광지,산,경기도 > 수원시 장안구,"361,263","480,312",979,"481,291",37.3280368,127.0150837,자연
신당동 떡볶이 골목,체험관광지,이색거리,서울특별시 > 중구,"289,594","443,916","36,763","480,678",37.562794,127.015078,인문
서울 중부시장,쇼핑,상설시장,서울특별시 > 중구,"151,459","412,206","67,180","479,385",37.5652831,127.0005222,쇼핑
인하대후문먹거리타운,체험관광지,이색거리,인천광역시 > 미추홀구,"643,388","477,229","1,622","478,850",37.4521043,126.6572889,인문
정병산,자연관광지,산,경상남도 > 창원시 의창구,"612,035","476,952","1,363","478,315",35.2778714,128.6859773,자연
VR스테이션,체험관광지,이색체험,서울특별시 > 강남구,"193,407","468,948","9,136","478,083",37.4954942,127.0292972,인문
경주월드,휴양관광지,테마공원,경상북도 > 경주시,"159,257","467,947","8,976","476,923",35.8355833,129.2828882,인문
국립여성사전시관,문화시설,전시관,경기도 > 고양시 덕양구,"965,965","474,695","1,363","476,057",37.6357485,126.8342265,인문
화서문(華西門),역사관광지,문,경기도 > 수원시 팔달구,"306,558","472,157","2,978","475,135",37.2854748,127.0096722,인문
드래곤힐스파(용산),휴양관광지,이색찜질방,서울특별시 > 용산구,"161,728","467,180","7,678","474,858",37.5281097,126.9647134,인문
행주외동 장어마을,체험관광지,이색거리,경기도 > 고양시 덕양구,"104,853","462,161","10,670","472,831",37.600131,126.818363,인문
프린지페스티벌,,,광주광역시 > 동구,"174,276","470,698","2,057","472,755",35.147396,126.92013,기타
나인포레스트 이화원,휴양관광지,테마공원,경기도 > 가평군,"150,049","408,741","63,824","472,565",37.8181088,127.5185716,인문
현풍 500년 느티나무 테마공원,휴양관광지,테마공원,대구광역시 > 달성군,"627,368","467,548","2,229","469,776",35.697498,128.451409,인문
창원문화원,문화시설,문화원,경상남도 > 창원시 의창구,"438,319","465,035","1,243","466,277",35.2355728,128.6836929,인문
소림사(부산),역사관광지,사찰,부산광역시 > 동구,"289,198","445,855","16,491","462,345",35.1176167,129.0368413,인문
세미원,자연관광지,수목원,경기도 > 양평군,"132,969","458,987","2,908","461,895",37.5382032,127.3217526,자연
두물머리 애벌레 생태학교,자연관광지,자연생태관광지,경기도 > 양평군,"126,952","458,931","2,571","461,501",37.5366771,127.3142721,자연
인천상륙작전기념관,문화시설,기념관,인천광역시 > 연수구,"638,019","451,829","9,345","461,174",37.4196092,126.6542628,인문
한려해상국립공원(거제),자연관광지,국립공원,경상남도 > 거제시,"189,655","426,629","34,483","461,112",34.7675033,128.6857273,자연
코스트코 광명점,쇼핑,쇼핑,경기도 > 광명시,"190,435","458,633","2,046","460,679",37.4208271,126.8859557,쇼핑
C 아트뮤지엄(숲속의 미술공원),문화시설,미술관/화랑,경기도 > 양평군,"28,480","455,242","1,173","456,414",37.386497,127.728234,인문
구리역공원,휴양관광지,공원,경기도 > 구리시,"442,246","454,783",538,"455,321",37.6023389,127.1416748,인문
청주 중앙공원,휴양관광지,공원,충청북도 > 청주시 상당구,"317,475","454,458",759,"455,217",36.6326575,127.487363,인문
대구 아쿠아리움,문화시설,전시관,대구광역시 > 동구,"175,711","452,704","2,449","455,153",35.8778124,128.6284527,인문
